"identifier","analyte","amount_pg","level"
"L1_r1","12-HHTrE",5,"L1"
"L1_r1","12-HOPE",5,"L1"
"L1_r1","9-HOTE",5,"L1"
"L1_r2","12-HHTrE",5,"L1"
"L1_r2","12-HOPE",5,"L1"
"L1_r2","9-HOTE",5,"L1"
"L1_r3","12-HHTrE",5,"L1"
"L1_r3","12-HOPE",5,"L1"
"L1_r3","9-HOTE",5,"L1"
"L2_r1","12-HHTrE",20,"L2"
"L2_r1","12-HOPE",20,"L2"
"L2_r1","9-HOTE",20,"L2"
"L2_r2","12-HHTrE",20,"L2"
"L2_r2","12-HOPE",20,"L2"
"L2_r2","9-HOTE",20,"L2"
"L2_r3","12-HHTrE",20,"L2"
"L2_r3","12-HOPE",20,"L2"
"L2_r3","9-HOTE",20,"L2"
"L3_r1","12-HHTrE",80,"L3"
"L3_r1","12-HOPE",80,"L3"
"L3_r1","9-HOTE",80,"L3"
"L3_r2","12-HHTrE",80,"L3"
"L3_r2","12-HOPE",80,"L3"
"L3_r2","9-HOTE",80,"L3"
"L3_r3","12-HHTrE",80,"L3"
"L3_r3","12-HOPE",80,"L3"
"L3_r3","9-HOTE",80,"L3"
"L4_r1","12-HHTrE",200,"L4"
"L4_r1","12-HOPE",200,"L4"
"L4_r1","9-HOTE",200,"L4"
"L4_r2","12-HHTrE",200,"L4"
"L4_r2","12-HOPE",200,"L4"
"L4_r2","9-HOTE",200,"L4"
"L4_r3","12-HHTrE",200,"L4"
"L4_r3","12-HOPE",200,"L4"
"L4_r3","9-HOTE",200,"L4"
"L5_r1","12-HHTrE",400,"L5"
"L5_r1","12-HOPE",400,"L5"
"L5_r1","9-HOTE",400,"L5"
"L5_r2","12-HHTrE",400,"L5"
"L5_r2","12-HOPE",400,"L5"
"L5_r2","9-HOTE",400,"L5"
"L5_r3","12-HHTrE",400,"L5"
"L5_r3","12-HOPE",400,"L5"
"L5_r3","9-HOTE",400,"L5"
